Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday
935,2,27/05/2014,4786,574,1,0,0,0
1060,1,13/01/2014,5835,814,1,0,0,0
846,6,21/12/2013,9948,944,1,0,0,0
518,3,26/02/2014,4446,421,1,0,0,0
67,7,06/01/2013,0,0,0,0,a,0
469,3,29/05/2013,12764,1561,1,1,0,0
906,1,09/02/2015,8726,1140,1,0,0,0
1008,6,27/06/2015,4838,635,1,0,0,0
146,6,20/04/2013,6265,657,1,0,0,0
187,7,20/01/2013,0,0,0,0,0,0
685,2,15/10/2013,6361,605,1,0,0,0
491,7,03/08/2014,0,0,0,0,0,0
821,7,05/04/2015,0,0,0,0,0,0
417,7,22/12/2013,0,0,0,0,0,0
368,7,10/02/2013,0,0,0,0,0,0
1009,1,02/06/2014,6784,577,1,1,0,0
391,7,14/12/2014,0,0,0,0,0,0
771,2,20/01/2015,5667,633,1,0,0,0
111,2,28/04/2015,7873,623,1,1,0,0
68,3,06/02/2013,6756,1075,1,1,0,0
969,5,16/01/2015,4134,676,1,1,0,0
304,2,09/12/2014,6943,1066,1,0,0,0
863,5,11/01/2013,9581,1129,1,1,0,0
891,7,03/03/2013,0,0,0,0,0,0
1049,7,15/12/2013,0,0,0,0,0,0
437,5,07/06/2013,6702,670,1,1,0,0
1059,5,17/07/2015,9350,1191,1,1,0,1
55,1,25/08/2014,3919,542,1,0,0,1
957,4,11/12/2014,7551,822,1,0,0,0
724,2,07/07/2015,5924,613,1,0,0,1
422,5,13/12/2013,5119,539,1,0,0,0
917,4,25/09/2014,4601,602,1,0,0,0
784,1,09/06/2014,0,0,0,0,a,0
99,4,16/01/2014,3469,381,1,0,0,0
56,2,18/06/2013,6403,410,1,1,0,0
220,4,26/12/2013,0,0,0,0,c,1
31,6,14/06/2014,5397,579,1,0,0,0
571,5,29/11/2013,9071,675,1,0,0,0
476,5,05/06/2015,6977,737,1,1,0,0
1112,5,15/08/2014,7332,688,1,0,0,1
248,4,26/09/2013,8280,1138,1,1,0,0
677,5,02/01/2015,6069,544,1,0,0,1
180,7,19/04/2015,0,0,0,0,0,0
601,2,14/01/2014,3170,294,1,0,0,0
1061,5,02/01/2015,9519,700,1,0,0,1
779,6,04/04/2015,5639,518,1,0,0,0
194,4,22/05/2014,4457,409,1,1,0,0
230,1,14/10/2013,6520,898,1,0,0,1
567,7,22/03/2015,0,0,0,0,0,0
558,3,26/03/2014,2370,390,1,0,0,0
155,1,30/06/2014,13599,1001,1,1,0,0
280,4,04/09/2014,6422,509,1,1,0,1
310,3,22/01/2014,9674,816,1,1,0,0
421,3,13/03/2013,7014,827,1,0,0,0
971,5,09/01/2015,9065,978,1,1,0,0
777,6,09/11/2013,4375,377,1,0,0,0
508,6,11/10/2014,5365,573,1,0,0,0
327,6,10/08/2013,4923,690,1,0,0,0
657,5,13/03/2015,4928,695,1,0,0,0
957,2,23/04/2013,9130,995,1,1,0,0
173,2,17/06/2014,10693,1204,1,1,0,0
240,2,31/12/2013,3913,396,1,0,0,1
542,6,29/06/2013,6056,439,1,0,0,0
375,1,27/07/2015,15191,1030,1,1,0,1
52,3,28/05/2014,7106,483,1,0,0,0
248,6,08/06/2013,7466,1035,1,0,0,0
285,3,08/04/2015,4488,427,1,0,0,1
1071,2,23/12/2014,9132,1020,1,0,0,1
233,3,15/01/2014,7027,884,1,0,0,0
330,2,28/05/2013,4739,496,1,1,0,0
382,5,15/11/2013,7713,658,1,0,0,0
803,5,05/06/2015,9068,640,1,1,0,0
665,7,11/01/2015,0,0,0,0,0,0
1064,2,02/06/2015,11958,1179,1,1,0,0
210,5,04/04/2014,3591,369,1,1,0,0
25,6,31/01/2015,10810,1493,1,0,0,0
168,2,29/10/2013,6640,726,1,0,0,1
521,2,04/11/2014,5509,421,1,1,0,0
99,1,06/05/2013,3764,392,1,0,0,0
1021,2,23/07/2013,6800,941,1,0,0,1
875,5,01/05/2015,0,0,0,1,a,0
796,2,27/01/2015,9102,796,1,1,0,0
944,1,24/02/2014,5463,959,1,0,0,0
53,4,16/07/2015,5705,631,1,1,0,0
503,3,13/03/2013,4397,343,1,0,0,0
371,7,20/01/2013,0,0,0,0,0,0
276,2,23/09/2014,4156,561,1,0,0,0
236,4,25/07/2013,5384,709,1,0,0,1
259,6,02/02/2013,0,0,0,0,0,0
28,1,06/01/2014,0,0,0,1,a,0
144,5,01/05/2015,0,0,0,1,a,0
443,2,30/07/2013,5880,497,1,1,0,1
233,5,12/12/2014,10028,1048,1,0,0,0
755,6,17/08/2013,7572,727,1,0,0,0
104,4,18/09/2014,9398,1250,1,1,0,0
637,5,25/04/2014,8422,705,1,0,0,1
139,5,14/02/2014,5122,491,1,0,0,0
1076,5,29/11/2013,4464,590,1,0,0,0
1093,3,30/01/2013,6960,769,1,0,0,0
556,7,08/03/2015,0,0,0,0,0,0
116,2,17/02/2015,8285,802,1,1,0,0
176,3,03/09/2014,5973,704,1,1,0,0
621,6,17/01/2015,5719,760,1,0,0,0
587,5,20/09/2013,7409,606,1,0,0,0
882,7,23/11/2014,0,0,0,0,0,0
1044,5,26/12/2014,0,0,0,0,c,1
960,2,23/07/2013,4765,420,1,0,0,1
383,3,08/07/2015,15085,1935,1,0,0,0
322,5,10/10/2014,5576,587,1,1,0,1
754,7,31/05/2015,0,0,0,0,0,0
905,5,20/12/2013,14629,2053,1,1,0,0
184,3,03/04/2013,5378,539,1,0,0,1
479,5,03/10/2014,0,0,0,1,a,0
722,7,17/08/2014,0,0,0,0,0,1
502,2,12/11/2013,8554,1432,1,0,0,0
834,3,23/07/2014,4155,515,1,0,0,1
570,1,23/06/2014,3729,631,1,0,0,0
780,6,21/09/2013,2175,276,1,0,0,0
220,3,23/10/2013,6771,692,1,1,0,1
580,2,02/12/2014,15410,2064,1,1,0,0
814,3,12/02/2014,6565,565,1,0,0,0
69,5,27/09/2013,10603,1296,1,1,0,0
189,6,17/01/2015,7530,801,1,0,0,0
786,1,21/10/2013,5665,805,1,1,0,1
342,3,12/03/2014,7526,662,1,0,0,0
562,4,22/05/2014,17966,3291,1,1,0,0
286,5,13/12/2013,4779,431,1,0,0,0
615,4,19/09/2013,6767,1005,1,0,0,0
441,5,20/03/2015,7617,831,1,1,0,0
864,4,04/04/2013,3692,591,1,0,0,1
51,4,26/09/2013,5604,448,1,1,0,0
948,3,11/03/2015,6760,1765,1,0,0,0
791,3,02/07/2014,10139,957,1,1,0,0
432,5,18/01/2013,8998,1397,1,0,0,0
688,4,26/02/2015,2846,347,1,0,0,0
994,2,09/09/2014,3253,382,1,0,0,0
543,7,08/09/2013,0,0,0,0,0,0
951,4,11/09/2014,5913,567,1,0,0,0
236,2,05/03/2013,9142,1080,1,1,0,0
467,4,23/10/2014,12648,1559,1,1,0,0
864,2,28/07/2015,6398,743,1,1,0,0
470,4,13/06/2013,9675,1471,1,0,0,0
826,6,27/09/2014,5575,482,1,0,0,0
621,4,30/07/2015,5837,744,1,1,0,1
1092,6,23/02/2013,13433,1248,1,0,0,0
134,7,11/08/2013,0,0,0,0,0,0
760,1,01/07/2013,8582,1383,1,1,0,1
873,2,10/06/2014,4644,550,1,0,0,0
423,1,15/06/2015,13403,2002,1,1,0,0
1044,3,25/03/2015,4827,702,1,0,0,0
676,3,19/11/2014,8043,1845,1,0,0,0
462,6,17/05/2014,2156,276,1,0,0,0
1050,5,28/02/2014,9355,669,1,0,0,0
350,1,23/12/2013,15065,1294,1,0,0,1
885,2,23/04/2013,5098,684,1,1,0,0
888,3,15/05/2013,6383,649,1,1,0,0
542,6,28/09/2013,4733,447,1,0,0,0
470,5,26/09/2014,13464,1962,1,0,0,0
730,2,02/04/2013,9873,1260,1,0,0,1
560,1,17/03/2014,16374,1812,1,1,0,0
1107,3,11/06/2014,5282,600,1,0,0,1
994,4,12/09/2013,5027,499,1,1,0,0
386,1,10/03/2014,6228,583,1,0,0,0
85,4,01/01/2015,4576,703,1,0,a,1
463,4,26/06/2014,5095,924,1,0,0,0
79,6,07/06/2014,4753,472,1,0,0,0
539,6,14/12/2013,13582,1226,1,0,0,0
581,5,05/07/2013,6439,685,1,1,0,0
108,3,08/04/2015,10150,824,1,0,0,1
487,2,13/08/2013,8631,764,1,1,0,0
101,4,02/10/2014,10754,977,1,1,0,0
884,7,08/12/2013,0,0,0,0,0,0
940,7,09/02/2014,0,0,0,0,0,0
219,6,09/02/2013,2033,275,1,0,0,0
390,4,07/05/2015,13478,1139,1,1,0,0
446,4,06/03/2014,6384,831,1,1,0,0
1051,6,27/12/2014,6520,835,1,0,0,0
591,3,28/01/2015,5228,450,1,1,0,0
598,2,02/07/2013,6028,758,1,1,0,0
151,2,26/05/2015,6937,714,1,0,0,0
598,5,24/04/2015,4514,614,1,0,0,0
372,3,05/02/2014,8776,757,1,1,0,0
422,6,04/07/2015,4482,421,1,0,0,0
822,7,20/10/2013,0,0,0,0,0,0
608,7,18/05/2014,0,0,0,0,0,0
293,7,06/01/2013,0,0,0,0,0,0
607,1,29/09/2014,7143,660,1,1,0,0
36,6,17/05/2014,9988,1100,1,0,0,0
1110,3,19/03/2014,4314,528,1,1,0,0
921,3,21/08/2013,9068,1141,1,0,0,1
325,4,18/07/2013,9366,1023,1,1,0,0
65,7,31/05/2015,0,0,0,0,0,0
672,1,03/03/2014,12462,1652,1,1,0,0
716,7,05/04/2015,0,0,0,0,0,0
884,4,09/05/2013,0,0,0,0,a,0
123,1,08/07/2013,8615,1075,1,0,0,0
908,5,08/02/2013,5180,422,1,1,0,0
318,4,08/01/2015,7846,708,1,1,0,0
48,1,21/07/2014,3213,349,1,0,0,1
689,1,23/02/2015,4973,573,1,0,0,0
255,5,25/01/2013,7230,689,1,1,0,0
981,7,01/06/2014,0,0,0,0,0,0
1063,3,10/06/2015,3575,455,1,0,0,0
485,3,24/04/2013,3752,363,1,1,0,0
40,2,22/01/2013,5141,674,1,1,0,0
678,4,21/08/2014,7624,866,1,1,0,0
715,1,22/04/2013,9265,928,1,1,0,0
164,1,09/09/2013,10008,883,1,1,0,1
502,3,29/07/2015,10784,1384,1,1,0,1
261,1,02/03/2015,21718,1400,1,1,0,0
85,6,26/07/2014,5033,766,1,0,0,0
58,6,01/02/2014,5952,489,1,0,0,0
1021,3,08/10/2014,8247,987,1,1,0,0
862,1,20/01/2014,9871,1228,1,1,0,0
110,5,17/07/2015,4448,552,1,1,0,0
357,4,22/08/2013,4623,729,1,0,0,1
1026,4,30/10/2014,8284,1077,1,0,0,0
194,4,10/04/2014,3901,362,1,0,0,0
980,1,23/12/2013,12799,1132,1,0,0,1
945,1,18/03/2013,3929,523,1,1,0,0
866,7,28/09/2014,0,0,0,0,0,0
734,5,06/03/2015,6821,607,1,1,0,0
306,4,10/04/2014,3524,410,1,0,0,0
985,2,02/04/2013,6559,748,1,0,0,1
901,6,27/04/2013,5291,502,1,0,0,0
654,2,04/06/2013,7466,796,1,1,0,0
73,6,26/04/2014,2465,253,1,0,0,0
421,1,24/03/2014,6627,769,1,0,0,0
123,1,08/12/2014,9311,1092,1,0,0,0
740,6,10/08/2013,6025,474,1,0,0,1
576,3,22/05/2013,4518,727,1,0,0,0
87,2,05/02/2013,7274,890,1,1,0,1
186,1,30/06/2014,5654,512,1,1,0,0
174,6,20/04/2013,6001,464,1,0,0,0
35,3,31/12/2014,5187,415,1,0,0,1
212,3,21/08/2013,4084,480,1,0,0,0
122,2,08/07/2014,7978,1005,1,0,0,0
367,4,19/02/2015,5197,558,1,1,0,0
920,3,24/07/2013,4632,543,1,0,0,0
1096,5,20/03/2015,6996,743,1,1,0,0
1007,5,22/03/2013,8432,934,1,1,0,0
871,7,24/03/2013,0,0,0,0,0,0
368,5,20/09/2013,6357,564,1,0,0,0
543,7,03/02/2013,0,0,0,0,0,0
343,3,24/06/2015,7018,664,1,0,0,0
496,2,28/04/2015,9632,930,1,1,0,0
465,4,25/04/2013,6375,497,1,1,0,0
531,4,26/06/2014,4369,556,1,0,0,0
680,5,27/06/2014,4741,699,1,0,0,0
519,4,02/07/2015,4857,516,1,1,0,0
1011,2,26/03/2013,9727,1118,1,1,0,1
664,4,20/11/2014,4314,539,1,0,0,0
772,1,24/03/2014,2973,459,1,0,0,0
438,1,04/05/2015,7315,677,1,1,0,0
858,2,03/03/2015,6234,518,1,1,0,0
915,4,16/07/2015,7100,485,1,1,0,0
370,3,16/01/2013,4501,403,1,0,0,0
656,6,23/11/2013,2881,344,1,0,0,0
259,4,27/11/2014,13232,2541,1,1,0,0
27,2,24/09/2013,10557,1166,1,1,0,0
781,4,07/05/2015,5457,717,1,1,0,0
892,4,27/06/2013,6881,785,1,0,0,0
37,7,08/03/2015,0,0,0,0,0,0
409,3,20/02/2013,5631,543,1,1,0,0
295,2,30/06/2015,8643,889,1,1,0,0
179,2,15/01/2013,4183,595,1,0,0,0
328,2,01/04/2014,5713,617,1,1,0,0
540,5,04/10/2013,4518,368,1,0,0,0
532,7,05/04/2015,0,0,0,0,0,0
852,1,18/05/2015,6651,763,1,1,0,0
443,5,30/05/2014,6497,592,1,0,0,1
581,1,16/12/2013,12079,998,1,1,0,0
1067,5,20/09/2013,4810,480,1,0,0,0
134,4,26/12/2013,0,0,0,0,c,1
371,2,24/03/2015,4780,411,1,0,0,0
1068,3,19/11/2014,3957,296,1,0,0,0
605,3,17/07/2013,7239,496,1,1,0,0
783,1,26/08/2013,9021,891,1,1,0,0
246,5,26/04/2013,7134,1000,1,1,0,0
217,6,28/12/2013,4874,676,1,0,0,0
1060,7,16/11/2014,0,0,0,0,0,0
746,2,11/06/2013,3601,378,1,0,0,0
873,3,14/08/2013,3648,457,1,1,0,1
538,2,16/06/2015,5112,680,1,1,0,0
864,7,22/12/2013,0,0,0,0,0,0
337,2,22/04/2014,4450,386,1,0,0,1
601,3,08/10/2014,4524,344,1,1,0,0
729,6,31/05/2014,9304,928,1,0,0,0
852,2,26/03/2013,6621,732,1,1,0,1
255,6,29/11/2014,7427,743,1,0,0,0
564,4,30/07/2015,6413,523,1,1,0,1
666,7,13/01/2013,0,0,0,0,0,0
852,5,19/04/2013,3805,560,1,0,0,0
1061,6,09/03/2013,6401,521,1,0,0,0
139,3,05/06/2013,7059,530,1,1,0,0
105,3,10/06/2015,4647,642,1,0,0,0
789,5,26/09/2014,3584,460,1,0,0,0
875,3,06/03/2013,5776,515,1,1,0,0
769,4,31/01/2013,9244,2742,1,0,0,0
817,2,04/11/2014,24777,3417,1,1,0,0
238,1,25/03/2013,10422,1300,1,1,0,1
692,2,25/11/2014,8354,981,1,1,0,0
204,7,14/07/2013,0,0,0,0,0,0
187,5,27/03/2015,5901,782,1,0,0,0
566,4,07/03/2013,4698,523,1,1,0,1
573,4,06/06/2013,3978,343,1,1,0,0
704,7,29/12/2013,0,0,0,0,0,0
198,7,26/05/2013,0,0,0,0,0,0
1037,6,16/08/2014,6309,834,1,0,0,0
294,7,16/03/2014,0,0,0,0,0,0
799,4,29/01/2015,10155,844,1,1,0,0
640,3,18/12/2013,17142,1192,1,1,0,0
908,2,10/09/2013,5577,419,1,1,0,0
673,3,06/05/2015,8312,599,1,1,0,0
16,7,05/10/2014,0,0,0,0,0,0
317,2,15/04/2014,6559,619,1,1,0,1
543,1,25/02/2013,1437,183,1,0,0,0
